year,period,periodName,date,series,value,md_rate,mn_rate
2023,M08,August,2023-08-01,ldl,1680,1773,1714.2727272727273
2023,M08,August,2023-08-01,ldr,1.1,1.2,1.1727272727272728
2023,M08,August,2023-08-01,ql,3638,3103,3250.6363636363635
2023,M08,August,2023-08-01,qr,2.3,2.1,2.209090909090909
2023,M08,August,2023-08-01,hl,5857,5815,5633.272727272727
2023,M08,August,2023-08-01,hr,3.7,3.8,3.8545454545454545
2023,M08,August,2023-08-01,tsl,5676,5334,5318
2023,M08,August,2023-08-01,tsr,3.6,3.6,3.6272727272727274
2023,M08,August,2023-08-01,jol,9610,6360,7123.818181818182
2023,M08,August,2023-08-01,jor,5.8,4.3,4.590909090909091
2023,M07,July,2023-07-01,ldl,1681,1759,1722.4545454545455
2023,M07,July,2023-07-01,ldr,1.1,1.2,1.190909090909091
2023,M07,July,2023-07-01,ql,3619,3097,3234.181818181818
2023,M07,July,2023-07-01,qr,2.3,2.2,2.209090909090909
2023,M07,July,2023-07-01,hl,5822,5649,5649.909090909091
2023,M07,July,2023-07-01,hr,3.7,3.8,3.8636363636363638
2023,M07,July,2023-07-01,tsl,5638,5338,5302.727272727273
2023,M07,July,2023-07-01,tsr,3.6,3.6,3.609090909090909
2023,M07,July,2023-07-01,jol,8920,6514,7174.909090909091
2023,M07,July,2023-07-01,jor,5.4,4.5,4.654545454545454
2023,M06,June,2023-06-01,ldl,1551,1761,1752.8181818181818
2023,M06,June,2023-06-01,ldr,1,1.2,1.209090909090909
2023,M06,June,2023-06-01,ql,3802,3154,3187.4545454545455
2023,M06,June,2023-06-01,qr,2.4,2.2,2.1818181818181817
2023,M06,June,2023-06-01,hl,5940,5760,5759.363636363636
2023,M06,June,2023-06-01,hr,3.8,3.8,3.9545454545454546
2023,M06,June,2023-06-01,tsl,5691,5463,5292.727272727273
2023,M06,June,2023-06-01,tsr,3.6,3.7,3.6272727272727274
2023,M06,June,2023-06-01,jol,9165,6305,7010
2023,M06,June,2023-06-01,jor,5.5,4.3,4.554545454545455
2023,M05,May,2023-05-01,ldl,1546,1773,1724.909090909091
2023,M05,May,2023-05-01,ldr,1,1.2,1.190909090909091
2023,M05,May,2023-05-01,ql,4067,3111,3162.6363636363635
2023,M05,May,2023-05-01,qr,2.6,2.1,2.1636363636363636
2023,M05,May,2023-05-01,hl,6231,5725,5798.272727272727
2023,M05,May,2023-05-01,hr,4,3.8,4.009090909090909
2023,M05,May,2023-05-01,tsl,5925,5270,5230.363636363636
2023,M05,May,2023-05-01,tsr,3.8,3.6,3.618181818181818
2023,M05,May,2023-05-01,jol,9616,5826,6987.727272727273
2023,M05,May,2023-05-01,jor,5.8,4,4.554545454545455
2023,M04,April,2023-04-01,ldl,1590,1764,2376.3636363636365
2023,M04,April,2023-04-01,ldr,1,1.2,1.709090909090909
2023,M04,April,2023-04-01,ql,3765,3028,3134.3636363636365
2023,M04,April,2023-04-01,qr,2.4,2.1,2.1636363636363636
2023,M04,April,2023-04-01,hl,6101,5294,5428.181818181818
2023,M04,April,2023-04-01,hr,3.9,3.7,3.7545454545454544
2023,M04,April,2023-04-01,tsl,5660,5441,5860.181818181818
2023,M04,April,2023-04-01,tsr,3.6,3.6,4.109090909090909
2023,M04,April,2023-04-01,jol,10320,6091,6923.909090909091
2023,M04,April,2023-04-01,jor,6.2,4,4.5181818181818185
2023,M03,March,2023-03-01,ldl,1845,1787,2759.2727272727275
2023,M03,March,2023-03-01,ldr,1.2,1.2,1.8545454545454545
