year,period,periodName,date,series,value,md_rate,mn_rate
2023,M07,July,2023-07-01,ldl,1555,1759,1711
2023,M07,July,2023-07-01,ldr,1,1.2,1.18181818181818
2023,M07,July,2023-07-01,ql,3549,3097,3227.81818181818
2023,M07,July,2023-07-01,qr,2.3,2.2,2.20909090909091
2023,M07,July,2023-07-01,hl,5773,5649,5645.45454545455
2023,M07,July,2023-07-01,hr,3.7,3.8,3.86363636363636
2023,M07,July,2023-07-01,tsr,5483,5338,5288.63636363636
2023,M07,July,2023-07-01,tsl,3.5,3.6,3.6
2023,M06,June,2023-06-01,ldl,1551,1761,1752.81818181818
2023,M06,June,2023-06-01,ldr,1,1.2,1.20909090909091
2023,M06,June,2023-06-01,ql,3802,3154,3187.45454545455
2023,M06,June,2023-06-01,qr,2.4,2.2,2.18181818181818
2023,M06,June,2023-06-01,hl,5940,5760,5759.36363636364
2023,M06,June,2023-06-01,hr,3.8,3.8,3.95454545454545
2023,M06,June,2023-06-01,tsr,5691,5463,5292.72727272727
2023,M06,June,2023-06-01,tsl,3.6,3.7,3.62727272727273
2023,M05,May,2023-05-01,ldl,1546,1773,1724.90909090909
2023,M05,May,2023-05-01,ldr,1,1.2,1.19090909090909
2023,M05,May,2023-05-01,ql,4067,3111,3162.63636363636
2023,M05,May,2023-05-01,qr,2.6,2.1,2.16363636363636
2023,M05,May,2023-05-01,hl,6231,5725,5798.27272727273
2023,M05,May,2023-05-01,hr,4,3.8,4.00909090909091
2023,M05,May,2023-05-01,tsr,5925,5270,5230.36363636364
2023,M05,May,2023-05-01,tsl,3.8,3.6,3.61818181818182
2023,M04,April,2023-04-01,ldl,1590,1764,2376.36363636364
2023,M04,April,2023-04-01,ldr,1,1.2,1.70909090909091
2023,M04,April,2023-04-01,ql,3765,3028,3134.36363636364
2023,M04,April,2023-04-01,qr,2.4,2.1,2.16363636363636
2023,M04,April,2023-04-01,hl,6101,5294,5428.18181818182
2023,M04,April,2023-04-01,hr,3.9,3.7,3.75454545454545
2023,M04,April,2023-04-01,tsr,5660,5441,5860.18181818182
2023,M04,April,2023-04-01,tsl,3.6,3.6,4.10909090909091
2023,M03,March,2023-03-01,ldl,1845,1787,2759.27272727273
2023,M03,March,2023-03-01,ldr,1.2,1.2,1.85454545454545
2023,M03,March,2023-03-01,ql,3842,3150,3193.18181818182
2023,M03,March,2023-03-01,qr,2.5,2.2,2.18181818181818
2023,M03,March,2023-03-01,hl,6066,5395,5477.54545454545
2023,M03,March,2023-03-01,hr,3.9,3.7,3.73636363636364
2023,M03,March,2023-03-01,tsr,5994,5494,6302.36363636364
2023,M03,March,2023-03-01,tsl,3.9,3.7,4.29090909090909
2023,M02,February,2023-02-01,ldl,1557,1757,1719.81818181818
2023,M02,February,2023-02-01,ldr,1,1.2,1.17272727272727
2023,M02,February,2023-02-01,ql,3980,3222,3232.18181818182
2023,M02,February,2023-02-01,qr,2.6,2.2,2.21818181818182
2023,M02,February,2023-02-01,hl,6150,5624,5575.45454545455
2023,M02,February,2023-02-01,hr,4,3.8,3.81818181818182
2023,M02,February,2023-02-01,tsr,5841,5319,5295.18181818182
2023,M02,February,2023-02-01,tsl,3.8,3.7,3.62727272727273
2023,M01,January,2023-01-01,ldl,1719,1745,1725.90909090909
2023,M01,January,2023-01-01,ldr,1.1,1.2,1.18181818181818
2023,M01,January,2023-01-01,ql,3878,3188,3187.45454545455
2023,M01,January,2023-01-01,qr,2.5,2.2,2.17272727272727
2023,M01,January,2023-01-01,hl,6327,5512,5518.45454545455
2023,M01,January,2023-01-01,hr,4.1,3.8,3.79090909090909
2023,M01,January,2023-01-01,tsr,5900,5288,5264.45454545455
2023,M01,January,2023-01-01,tsl,3.8,3.6,3.62727272727273
2022,M12,December,2022-12-01,ldl,1475,1786.5,1743.3
2022,M12,December,2022-12-01,ldr,1,1.25,1.2
2022,M12,December,2022-12-01,ql,4091,3312.5,3289.8
2022,M12,December,2022-12-01,qr,2.6,2.25,2.24
2022,M12,December,2022-12-01,hl,6251,5569,5627.2
2022,M12,December,2022-12-01,hr,4,3.9,3.85
2022,M12,December,2022-12-01,tsr,5906,5401.5,5382.7
2022,M12,December,2022-12-01,tsl,3.8,3.7,3.68
2022,M11,November,2022-11-01,ldl,1485,1749,1732.3
2022,M11,November,2022-11-01,ldr,1,1.2,1.19
2022,M11,November,2022-11-01,ql,4148,3219.5,3303.9
2022,M11,November,2022-11-01,qr,2.7,2.25,2.25
2022,M11,November,2022-11-01,hl,6253,5660,5645.6
2022,M11,November,2022-11-01,hr,4.1,3.85,3.88
2022,M11,November,2022-11-01,tsr,5945,5478.5,5391.7
2022,M11,November,2022-11-01,tsl,3.9,3.65,3.69
2022,M10,October,2022-10-01,ldl,1525,1760.5,1705.8
2022,M10,October,2022-10-01,ldr,1,1.2,1.16
2022,M10,October,2022-10-01,ql,4048,3261.5,3261.9
2022,M10,October,2022-10-01,qr,2.6,2.25,2.22
2022,M10,October,2022-10-01,hl,6164,5693,5643.6
2022,M10,October,2022-10-01,hr,4,3.8,3.87
2022,M10,October,2022-10-01,tsr,5846,5379.5,5318.1
2022,M10,October,2022-10-01,tsl,3.8,3.7,3.64
2022,M09,September,2022-09-01,ldl,1436,1741,1708.6
2022,M09,September,2022-09-01,ldr,0.9,1.2,1.18
2022,M09,September,2022-09-01,ql,4065,3181.5,3242
2022,M09,September,2022-09-01,qr,2.6,2.2,2.23
2022,M09,September,2022-09-01,hl,6226,5537.5,5632
2022,M09,September,2022-09-01,hr,4.1,3.75,3.88
2022,M09,September,2022-09-01,tsr,5810,5203.5,5297.4
2022,M09,September,2022-09-01,tsl,3.8,3.6,3.64
2022,M08,August,2022-08-01,ldl,1627,1786.5,1717.7
2022,M08,August,2022-08-01,ldr,1.1,1.2,1.18
2022,M08,August,2022-08-01,ql,4242,3050.5,3211.9
2022,M08,August,2022-08-01,qr,2.8,2.1,2.2
2022,M08,August,2022-08-01,hl,6478,5667,5610.9
2022,M08,August,2022-08-01,hr,4.2,3.85,3.87
2022,M08,August,2022-08-01,tsr,6244,5269,5282.2
2022,M08,August,2022-08-01,tsl,4.1,3.6,3.63
2022,M07,July,2022-07-01,ldl,1497,1759,1711
2022,M07,July,2022-07-01,ldr,1,1.2,1.18181818181818
2022,M07,July,2022-07-01,ql,4016,3097,3227.81818181818
2022,M07,July,2022-07-01,qr,2.6,2.2,2.20909090909091
2022,M07,July,2022-07-01,hl,6340,5649,5645.45454545455
2022,M07,July,2022-07-01,hr,4.1,3.8,3.86363636363636
2022,M07,July,2022-07-01,tsr,5864,5338,5288.63636363636
2022,M07,July,2022-07-01,tsl,3.8,3.6,3.6
2022,M06,June,2022-06-01,ldl,1477,1761,1752.81818181818
2022,M06,June,2022-06-01,ldr,1,1.2,1.20909090909091
2022,M06,June,2022-06-01,ql,4161,3154,3187.45454545455
2022,M06,June,2022-06-01,qr,2.7,2.2,2.18181818181818
2022,M06,June,2022-06-01,hl,6448,5760,5759.36363636364
2022,M06,June,2022-06-01,hr,4.2,3.8,3.95454545454545
2022,M06,June,2022-06-01,tsr,5991,5463,5292.72727272727
2022,M06,June,2022-06-01,tsl,3.9,3.7,3.62727272727273
2022,M05,May,2022-05-01,ldl,1482,1773,1724.90909090909
2022,M05,May,2022-05-01,ldr,1,1.2,1.19090909090909
2022,M05,May,2022-05-01,ql,4208,3111,3162.63636363636
2022,M05,May,2022-05-01,qr,2.8,2.1,2.16363636363636
2022,M05,May,2022-05-01,hl,6545,5725,5798.27272727273
2022,M05,May,2022-05-01,hr,4.3,3.8,4.00909090909091
2022,M05,May,2022-05-01,tsr,6025,5270,5230.36363636364
2022,M05,May,2022-05-01,tsl,4,3.6,3.61818181818182
2022,M04,April,2022-04-01,ldl,1342,1764,2376.36363636364
2022,M04,April,2022-04-01,ldr,0.9,1.2,1.70909090909091
2022,M04,April,2022-04-01,ql,4497,3028,3134.36363636364
2022,M04,April,2022-04-01,qr,3,2.1,2.16363636363636
2022,M04,April,2022-04-01,hl,6572,5294,5428.18181818182
2022,M04,April,2022-04-01,hr,4.3,3.7,3.75454545454545
2022,M04,April,2022-04-01,tsr,6175,5441,5860.18181818182
2022,M04,April,2022-04-01,tsl,4.1,3.6,4.10909090909091
2022,M03,March,2022-03-01,ldl,1395,1787,2759.27272727273
2022,M03,March,2022-03-01,ldr,0.9,1.2,1.85454545454545
2022,M03,March,2022-03-01,ql,4452,3150,3193.18181818182
2022,M03,March,2022-03-01,qr,2.9,2.2,2.18181818181818
2022,M03,March,2022-03-01,hl,6577,5395,5477.54545454545
2022,M03,March,2022-03-01,hr,4.3,3.7,3.73636363636364
2022,M03,March,2022-03-01,tsr,6194,5494,6302.36363636364
2022,M03,March,2022-03-01,tsl,4.1,3.7,4.29090909090909
2022,M02,February,2022-02-01,ldl,1423,1757,1719.81818181818
2022,M02,February,2022-02-01,ldr,0.9,1.2,1.17272727272727
2022,M02,February,2022-02-01,ql,4313,3222,3232.18181818182
2022,M02,February,2022-02-01,qr,2.9,2.2,2.21818181818182
2022,M02,February,2022-02-01,hl,6800,5624,5575.45454545455
2022,M02,February,2022-02-01,hr,4.5,3.8,3.81818181818182
2022,M02,February,2022-02-01,tsr,6071,5319,5295.18181818182
2022,M02,February,2022-02-01,tsl,4,3.7,3.62727272727273
2022,M01,January,2022-01-01,ldl,1425,1745,1725.90909090909
2022,M01,January,2022-01-01,ldr,0.9,1.2,1.18181818181818
2022,M01,January,2022-01-01,ql,4391,3188,3187.45454545455
2022,M01,January,2022-01-01,qr,2.9,2.2,2.17272727272727
2022,M01,January,2022-01-01,hl,6496,5512,5518.45454545455
2022,M01,January,2022-01-01,hr,4.3,3.8,3.79090909090909
2022,M01,January,2022-01-01,tsr,6235,5288,5264.45454545455
2022,M01,January,2022-01-01,tsl,4.2,3.6,3.62727272727273
2021,M12,December,2021-12-01,ldl,1398,1786.5,1743.3
2021,M12,December,2021-12-01,ldr,0.9,1.25,1.2
2021,M12,December,2021-12-01,ql,4355,3312.5,3289.8
2021,M12,December,2021-12-01,qr,2.9,2.25,2.24
2021,M12,December,2021-12-01,hl,6632,5569,5627.2
2021,M12,December,2021-12-01,hr,4.4,3.9,3.85
2021,M12,December,2021-12-01,tsr,6131,5401.5,5382.7
2021,M12,December,2021-12-01,tsl,4.1,3.7,3.68
2021,M11,November,2021-11-01,ldl,1345,1749,1732.3
2021,M11,November,2021-11-01,ldr,0.9,1.2,1.19
2021,M11,November,2021-11-01,ql,4501,3219.5,3303.9
2021,M11,November,2021-11-01,qr,3,2.25,2.25
2021,M11,November,2021-11-01,hl,6843,5660,5645.6
2021,M11,November,2021-11-01,hr,4.6,3.85,3.88
2021,M11,November,2021-11-01,tsr,6227,5478.5,5391.7
2021,M11,November,2021-11-01,tsl,4.2,3.65,3.69
2021,M10,October,2021-10-01,ldl,1343,1760.5,1705.8
2021,M10,October,2021-10-01,ldr,0.9,1.2,1.16
2021,M10,October,2021-10-01,ql,4189,3261.5,3261.9
2021,M10,October,2021-10-01,qr,2.8,2.25,2.22
2021,M10,October,2021-10-01,hl,6667,5693,5643.6
2021,M10,October,2021-10-01,hr,4.5,3.8,3.87
2021,M10,October,2021-10-01,tsr,5927,5379.5,5318.1
2021,M10,October,2021-10-01,tsl,4,3.7,3.64
2021,M09,September,2021-09-01,ldl,1408,1741,1708.6
2021,M09,September,2021-09-01,ldr,1,1.2,1.18
2021,M09,September,2021-09-01,ql,4307,3181.5,3242
2021,M09,September,2021-09-01,qr,2.9,2.2,2.23
2021,M09,September,2021-09-01,hl,6629,5537.5,5632
2021,M09,September,2021-09-01,hr,4.5,3.75,3.88
2021,M09,September,2021-09-01,tsr,6067,5203.5,5297.4
2021,M09,September,2021-09-01,tsl,4.1,3.6,3.64
2021,M08,August,2021-08-01,ldl,1338,1786.5,1717.7
2021,M08,August,2021-08-01,ldr,0.9,1.2,1.18
2021,M08,August,2021-08-01,ql,4126,3050.5,3211.9
2021,M08,August,2021-08-01,qr,2.8,2.1,2.2
2021,M08,August,2021-08-01,hl,6415,5667,5610.9
2021,M08,August,2021-08-01,hr,4.4,3.85,3.87
2021,M08,August,2021-08-01,tsr,5839,5269,5282.2
2021,M08,August,2021-08-01,tsl,4,3.6,3.63
2021,M07,July,2021-07-01,ldl,1418,1759,1711
2021,M07,July,2021-07-01,ldr,1,1.2,1.18181818181818
2021,M07,July,2021-07-01,ql,4079,3097,3227.81818181818
2021,M07,July,2021-07-01,qr,2.8,2.2,2.20909090909091
2021,M07,July,2021-07-01,hl,6555,5649,5645.45454545455
2021,M07,July,2021-07-01,hr,4.5,3.8,3.86363636363636
2021,M07,July,2021-07-01,tsr,5841,5338,5288.63636363636
2021,M07,July,2021-07-01,tsl,4,3.6,3.6
2021,M06,June,2021-06-01,ldl,1329,1761,1752.81818181818
2021,M06,June,2021-06-01,ldr,0.9,1.2,1.20909090909091
2021,M06,June,2021-06-01,ql,4015,3154,3187.45454545455
2021,M06,June,2021-06-01,qr,2.8,2.2,2.18181818181818
2021,M06,June,2021-06-01,hl,6543,5760,5759.36363636364
2021,M06,June,2021-06-01,hr,4.5,3.8,3.95454545454545
2021,M06,June,2021-06-01,tsr,5737,5463,5292.72727272727
2021,M06,June,2021-06-01,tsl,3.9,3.7,3.62727272727273
2021,M05,May,2021-05-01,ldl,1345,1773,1724.90909090909
2021,M05,May,2021-05-01,ldr,0.9,1.2,1.19090909090909
2021,M05,May,2021-05-01,ql,3824,3111,3162.63636363636
2021,M05,May,2021-05-01,qr,2.6,2.1,2.16363636363636
2021,M05,May,2021-05-01,hl,6036,5725,5798.27272727273
2021,M05,May,2021-05-01,hr,4.2,3.8,4.00909090909091
2021,M05,May,2021-05-01,tsr,5508,5270,5230.36363636364
2021,M05,May,2021-05-01,tsl,3.8,3.6,3.61818181818182
2021,M04,April,2021-04-01,ldl,1422,1764,2376.36363636364
2021,M04,April,2021-04-01,ldr,1,1.2,1.70909090909091
2021,M04,April,2021-04-01,ql,3929,3028,3134.36363636364
2021,M04,April,2021-04-01,qr,2.7,2.1,2.16363636363636
2021,M04,April,2021-04-01,hl,6170,5294,5428.18181818182
2021,M04,April,2021-04-01,hr,4.3,3.7,3.75454545454545
2021,M04,April,2021-04-01,tsr,5714,5441,5860.18181818182
2021,M04,April,2021-04-01,tsl,4,3.6,4.10909090909091
2021,M03,March,2021-03-01,ldl,1514,1787,2759.27272727273
2021,M03,March,2021-03-01,ldr,1,1.2,1.85454545454545
2021,M03,March,2021-03-01,ql,3654,3150,3193.18181818182
2021,M03,March,2021-03-01,qr,2.5,2.2,2.18181818181818
2021,M03,March,2021-03-01,hl,6105,5395,5477.54545454545
2021,M03,March,2021-03-01,hr,4.2,3.7,3.73636363636364
2021,M03,March,2021-03-01,tsr,5494,5494,6302.36363636364
2021,M03,March,2021-03-01,tsl,3.8,3.7,4.29090909090909
2021,M02,February,2021-02-01,ldl,1629,1757,1719.81818181818
2021,M02,February,2021-02-01,ldr,1.1,1.2,1.17272727272727
2021,M02,February,2021-02-01,ql,3435,3222,3232.18181818182
2021,M02,February,2021-02-01,qr,2.4,2.2,2.21818181818182
2021,M02,February,2021-02-01,hl,5864,5624,5575.45454545455
2021,M02,February,2021-02-01,hr,4.1,3.8,3.81818181818182
2021,M02,February,2021-02-01,tsr,5382,5319,5295.18181818182
2021,M02,February,2021-02-01,tsl,3.7,3.7,3.62727272727273
2021,M01,January,2021-01-01,ldl,1578,1745,1725.90909090909
2021,M01,January,2021-01-01,ldr,1.1,1.2,1.18181818181818
2021,M01,January,2021-01-01,ql,3299,3188,3187.45454545455
2021,M01,January,2021-01-01,qr,2.3,2.2,2.17272727272727
2021,M01,January,2021-01-01,hl,5647,5512,5518.45454545455
2021,M01,January,2021-01-01,hr,4,3.8,3.79090909090909
2021,M01,January,2021-01-01,tsr,5164,5288,5264.45454545455
2021,M01,January,2021-01-01,tsl,3.6,3.6,3.62727272727273
2020,M12,December,2020-12-01,ldl,1912,1786.5,1743.3
2020,M12,December,2020-12-01,ldr,1.3,1.25,1.2
2020,M12,December,2020-12-01,ql,3403,3312.5,3289.8
2020,M12,December,2020-12-01,qr,2.4,2.25,2.24
2020,M12,December,2020-12-01,hl,5598,5569,5627.2
2020,M12,December,2020-12-01,hr,3.9,3.9,3.85
2020,M12,December,2020-12-01,tsr,5644,5401.5,5382.7
2020,M12,December,2020-12-01,tsl,4,3.7,3.68
2020,M11,November,2020-11-01,ldl,2138,1749,1732.3
2020,M11,November,2020-11-01,ldr,1.5,1.2,1.19
2020,M11,November,2020-11-01,ql,3253,3219.5,3303.9
2020,M11,November,2020-11-01,qr,2.3,2.25,2.25
2020,M11,November,2020-11-01,hl,5906,5660,5645.6
2020,M11,November,2020-11-01,hr,4.1,3.85,3.88
2020,M11,November,2020-11-01,tsr,5718,5478.5,5391.7
2020,M11,November,2020-11-01,tsl,4,3.65,3.69
2020,M10,October,2020-10-01,ldl,1711,1760.5,1705.8
2020,M10,October,2020-10-01,ldr,1.2,1.2,1.16
2020,M10,October,2020-10-01,ql,3304,3261.5,3261.9
2020,M10,October,2020-10-01,qr,2.3,2.25,2.22
2020,M10,October,2020-10-01,hl,6135,5693,5643.6
2020,M10,October,2020-10-01,hr,4.3,3.8,3.87
2020,M10,October,2020-10-01,tsr,5362,5379.5,5318.1
2020,M10,October,2020-10-01,tsl,3.8,3.7,3.64
2020,M09,September,2020-09-01,ldl,1578,1741,1708.6
2020,M09,September,2020-09-01,ldr,1.1,1.2,1.18
2020,M09,September,2020-09-01,ql,3173,3181.5,3242
2020,M09,September,2020-09-01,qr,2.2,2.2,2.23
2020,M09,September,2020-09-01,hl,5949,5537.5,5632
2020,M09,September,2020-09-01,hr,4.2,3.75,3.88
2020,M09,September,2020-09-01,tsr,5118,5203.5,5297.4
2020,M09,September,2020-09-01,tsl,3.6,3.6,3.64
2020,M08,August,2020-08-01,ldl,1593,1786.5,1717.7
2020,M08,August,2020-08-01,ldr,1.1,1.2,1.18
2020,M08,August,2020-08-01,ql,2954,3050.5,3211.9
2020,M08,August,2020-08-01,qr,2.1,2.1,2.2
2020,M08,August,2020-08-01,hl,5938,5667,5610.9
2020,M08,August,2020-08-01,hr,4.2,3.85,3.87
2020,M08,August,2020-08-01,tsr,4879,5269,5282.2
2020,M08,August,2020-08-01,tsl,3.5,3.6,3.63
2020,M07,July,2020-07-01,ldl,1848,1759,1711
2020,M07,July,2020-07-01,ldr,1.3,1.2,1.18181818181818
2020,M07,July,2020-07-01,ql,2998,3097,3227.81818181818
2020,M07,July,2020-07-01,qr,2.2,2.2,2.20909090909091
2020,M07,July,2020-07-01,hl,6255,5649,5645.45454545455
2020,M07,July,2020-07-01,hr,4.5,3.8,3.86363636363636
2020,M07,July,2020-07-01,tsr,5195,5338,5288.63636363636
2020,M07,July,2020-07-01,tsl,3.7,3.6,3.6
2020,M06,June,2020-06-01,ldl,2269,1761,1752.81818181818
2020,M06,June,2020-06-01,ldr,1.6,1.2,1.20909090909091
2020,M06,June,2020-06-01,ql,2571,3154,3187.45454545455
2020,M06,June,2020-06-01,qr,1.9,2.2,2.18181818181818
2020,M06,June,2020-06-01,hl,7488,5760,5759.36363636364
2020,M06,June,2020-06-01,hr,5.4,3.8,3.95454545454545
2020,M06,June,2020-06-01,tsr,5171,5463,5292.72727272727
2020,M06,June,2020-06-01,tsl,3.8,3.7,3.62727272727273
2020,M05,May,2020-05-01,ldl,2177,1773,1724.90909090909
2020,M05,May,2020-05-01,ldr,1.6,1.2,1.19090909090909
2020,M05,May,2020-05-01,ql,2265,3111,3162.63636363636
2020,M05,May,2020-05-01,qr,1.7,2.1,2.16363636363636
2020,M05,May,2020-05-01,hl,8098,5725,5798.27272727273
2020,M05,May,2020-05-01,hr,6.1,3.8,4.00909090909091
2020,M05,May,2020-05-01,tsr,4757,5270,5230.36363636364
2020,M05,May,2020-05-01,tsl,3.6,3.6,3.61818181818182
2020,M04,April,2020-04-01,ldl,9203,1764,2376.36363636364
2020,M04,April,2020-04-01,ldr,7.1,1.2,1.70909090909091
2020,M04,April,2020-04-01,ql,1971,3028,3134.36363636364
2020,M04,April,2020-04-01,qr,1.5,2.1,2.16363636363636
2020,M04,April,2020-04-01,hl,4052,5294,5428.18181818182
2020,M04,April,2020-04-01,hr,3.1,3.7,3.75454545454545
2020,M04,April,2020-04-01,tsr,11542,5441,5860.18181818182
2020,M04,April,2020-04-01,tsl,8.8,3.6,4.10909090909091
2020,M03,March,2020-03-01,ldl,13036,1787,2759.27272727273
2020,M03,March,2020-03-01,ldr,8.6,1.2,1.85454545454545
2020,M03,March,2020-03-01,ql,2926,3150,3193.18181818182
2020,M03,March,2020-03-01,qr,1.9,2.2,2.18181818181818
2020,M03,March,2020-03-01,hl,5172,5395,5477.54545454545
